"Step","baseline - train/contrastive_loss","baseline - train/contrastive_loss__MIN","baseline - train/contrastive_loss__MAX","20_most_difficult - train/contrastive_loss","20_most_difficult - train/contrastive_loss__MIN","20_most_difficult - train/contrastive_loss__MAX","90_most_difficult - train/contrastive_loss","90_most_difficult - train/contrastive_loss__MIN","90_most_difficult - train/contrastive_loss__MAX","70_most_difficult - train/contrastive_loss","70_most_difficult - train/contrastive_loss__MIN","70_most_difficult - train/contrastive_loss__MAX","30_most_difficult - train/contrastive_loss","30_most_difficult - train/contrastive_loss__MIN","30_most_difficult - train/contrastive_loss__MAX","50_most_difficult - train/contrastive_loss","50_most_difficult - train/contrastive_loss__MIN","50_most_difficult - train/contrastive_loss__MAX","minipile_style - train/contrastive_loss","minipile_style - train/contrastive_loss__MIN","minipile_style - train/contrastive_loss__MAX","10_most_difficult - train/contrastive_loss","10_most_difficult - train/contrastive_loss__MIN","10_most_difficult - train/contrastive_loss__MAX","txt_top5_all_quality_clusters - train/contrastive_loss","txt_top5_all_quality_clusters - train/contrastive_loss__MIN","txt_top5_all_quality_clusters - train/contrastive_loss__MAX","txt_top5_english_quality_clusters - train/contrastive_loss","txt_top5_english_quality_clusters - train/contrastive_loss__MIN","txt_top5_english_quality_clusters - train/contrastive_loss__MAX"
"6","8.374866485595703","8.374866485595703","8.374866485595703","8.37814998626709","8.37814998626709","8.37814998626709","8.376333236694336","8.376333236694336","8.376333236694336","8.378832817077637","8.378832817077637","8.378832817077637","8.376968383789062","8.376968383789062","8.376968383789062","8.379253387451172","8.379253387451172","8.379253387451172","8.386190414428711","8.386190414428711","8.386190414428711","8.377572059631348","8.377572059631348","8.377572059631348","8.3897705078125","8.3897705078125","8.3897705078125","8.384324073791504","8.384324073791504","8.384324073791504"
"14","8.180059432983398","8.180059432983398","8.180059432983398","8.213764190673828","8.213764190673828","8.213764190673828","8.178412437438965","8.178412437438965","8.178412437438965","8.20042896270752","8.20042896270752","8.20042896270752","8.229471206665039","8.229471206665039","8.229471206665039","8.209813117980957","8.209813117980957","8.209813117980957","8.03837776184082","8.03837776184082","8.03837776184082","8.220229148864746","8.220229148864746","8.220229148864746","8.16086196899414","8.16086196899414","8.16086196899414","8.049112319946289","8.049112319946289","8.049112319946289"
"22","8.051189422607422","8.051189422607422","8.051189422607422","8.008549690246582","8.008549690246582","8.008549690246582","7.998758316040039","7.998758316040039","7.998758316040039","8.090933799743652","8.090933799743652","8.090933799743652","8.099061012268066","8.099061012268066","8.099061012268066","8.13419246673584","8.13419246673584","8.13419246673584","7.739566326141357","7.739566326141357","7.739566326141357","7.976802825927734","7.976802825927734","7.976802825927734","8.014524459838867","8.014524459838867","8.014524459838867","7.8045525550842285","7.8045525550842285","7.8045525550842285"
"30","7.891237258911133","7.891237258911133","7.891237258911133","7.988499641418457","7.988499641418457","7.988499641418457","7.988597869873047","7.988597869873047","7.988597869873047","7.977964401245117","7.977964401245117","7.977964401245117","8.050299644470215","8.050299644470215","8.050299644470215","7.971189498901367","7.971189498901367","7.971189498901367","7.5078864097595215","7.5078864097595215","7.5078864097595215","7.956254005432129","7.956254005432129","7.956254005432129","7.755447864532471","7.755447864532471","7.755447864532471","7.485135555267334","7.485135555267334","7.485135555267334"
"38","7.8316826820373535","7.8316826820373535","7.8316826820373535","7.8949432373046875","7.8949432373046875","7.8949432373046875","7.894556999206543","7.894556999206543","7.894556999206543","7.863507270812988","7.863507270812988","7.863507270812988","7.935433387756348","7.935433387756348","7.935433387756348","7.864424705505371","7.864424705505371","7.864424705505371","7.356682777404785","7.356682777404785","7.356682777404785","7.93166446685791","7.93166446685791","7.93166446685791","7.7829670906066895","7.7829670906066895","7.7829670906066895","7.442325115203857","7.442325115203857","7.442325115203857"
"46","7.701760292053223","7.701760292053223","7.701760292053223","7.785616874694824","7.785616874694824","7.785616874694824","7.806917190551758","7.806917190551758","7.806917190551758","7.808434963226318","7.808434963226318","7.808434963226318","7.854745864868164","7.854745864868164","7.854745864868164","7.842834949493408","7.842834949493408","7.842834949493408","7.249840259552002","7.249840259552002","7.249840259552002","7.784576416015625","7.784576416015625","7.784576416015625","7.687374591827393","7.687374591827393","7.687374591827393","6.779670715332031","6.779670715332031","6.779670715332031"
"54","7.6058220863342285","7.6058220863342285","7.6058220863342285","7.706851005554199","7.706851005554199","7.706851005554199","7.72415828704834","7.72415828704834","7.72415828704834","7.746216297149658","7.746216297149658","7.746216297149658","7.754671573638916","7.754671573638916","7.754671573638916","7.729557037353516","7.729557037353516","7.729557037353516","7.117743492126465","7.117743492126465","7.117743492126465","6.826376914978027","6.826376914978027","6.826376914978027","7.560525894165039","7.560525894165039","7.560525894165039","6.805861473083496","6.805861473083496","6.805861473083496"
"62","7.558952331542969","7.558952331542969","7.558952331542969","7.6216630935668945","7.6216630935668945","7.6216630935668945","7.687587738037109","7.687587738037109","7.687587738037109","7.656600475311279","7.656600475311279","7.656600475311279","7.702838897705078","7.702838897705078","7.702838897705078","7.786231994628906","7.786231994628906","7.786231994628906","6.928375720977783","6.928375720977783","6.928375720977783","7.585712909698486","7.585712909698486","7.585712909698486","7.243658065795898","7.243658065795898","7.243658065795898","7.264679431915283","7.264679431915283","7.264679431915283"
"70","7.593244552612305","7.593244552612305","7.593244552612305","7.72163200378418","7.72163200378418","7.72163200378418","7.691747665405273","7.691747665405273","7.691747665405273","7.661046504974365","7.661046504974365","7.661046504974365","7.775012016296387","7.775012016296387","7.775012016296387","7.774614334106445","7.774614334106445","7.774614334106445","7.112778663635254","7.112778663635254","7.112778663635254","7.8158674240112305","7.8158674240112305","7.8158674240112305","7.578062057495117","7.578062057495117","7.578062057495117","6.888050079345703","6.888050079345703","6.888050079345703"
"78","7.3800249099731445","7.3800249099731445","7.3800249099731445","7.418244361877441","7.418244361877441","7.418244361877441","7.643970489501953","7.643970489501953","7.643970489501953","7.572378158569336","7.572378158569336","7.572378158569336","7.576971530914307","7.576971530914307","7.576971530914307","7.637901782989502","7.637901782989502","7.637901782989502","6.261695861816406","6.261695861816406","6.261695861816406","6.175054550170898","6.175054550170898","6.175054550170898","7.358742713928223","7.358742713928223","7.358742713928223","6.938246726989746","6.938246726989746","6.938246726989746"
"86","7.412773132324219","7.412773132324219","7.412773132324219","7.2808027267456055","7.2808027267456055","7.2808027267456055","7.511013031005859","7.511013031005859","7.511013031005859","7.435610771179199","7.435610771179199","7.435610771179199","7.468743324279785","7.468743324279785","7.468743324279785","7.549358367919922","7.549358367919922","7.549358367919922","6.394383430480957","6.394383430480957","6.394383430480957","6.831974983215332","6.831974983215332","6.831974983215332","7.3991241455078125","7.3991241455078125","7.3991241455078125","6.733636379241943","6.733636379241943","6.733636379241943"
"94","7.349325656890869","7.349325656890869","7.349325656890869","7.186889171600342","7.186889171600342","7.186889171600342","7.5073418617248535","7.5073418617248535","7.5073418617248535","7.357316017150879","7.357316017150879","7.357316017150879","7.347124099731445","7.347124099731445","7.347124099731445","7.429733753204346","7.429733753204346","7.429733753204346","6.287418365478516","6.287418365478516","6.287418365478516","6.753599166870117","6.753599166870117","6.753599166870117","7.2735137939453125","7.2735137939453125","7.2735137939453125","7.056765556335449","7.056765556335449","7.056765556335449"
"102","7.1556854248046875","7.1556854248046875","7.1556854248046875","7.464295387268066","7.464295387268066","7.464295387268066","7.395228385925293","7.395228385925293","7.395228385925293","7.40003776550293","7.40003776550293","7.40003776550293","7.216273307800293","7.216273307800293","7.216273307800293","7.263570785522461","7.263570785522461","7.263570785522461","6.418841361999512","6.418841361999512","6.418841361999512","7.171245574951172","7.171245574951172","7.171245574951172","7.221362113952637","7.221362113952637","7.221362113952637","5.603633880615234","5.603633880615234","5.603633880615234"
"110","7.230433464050293","7.230433464050293","7.230433464050293","7.1883416175842285","7.1883416175842285","7.1883416175842285","7.3650712966918945","7.3650712966918945","7.3650712966918945","7.246589660644531","7.246589660644531","7.246589660644531","7.130393981933594","7.130393981933594","7.130393981933594","7.131589412689209","7.131589412689209","7.131589412689209","6.136795997619629","6.136795997619629","6.136795997619629","7.382804870605469","7.382804870605469","7.382804870605469","7.18867301940918","7.18867301940918","7.18867301940918","5.828767776489258","5.828767776489258","5.828767776489258"
"118","7.14335298538208","7.14335298538208","7.14335298538208","6.958240509033203","6.958240509033203","6.958240509033203","7.311655044555664","7.311655044555664","7.311655044555664","7.225898742675781","7.225898742675781","7.225898742675781","7.121688365936279","7.121688365936279","7.121688365936279","7.2611918449401855","7.2611918449401855","7.2611918449401855","6.324474334716797","6.324474334716797","6.324474334716797","5.391353607177734","5.391353607177734","5.391353607177734","6.79014778137207","6.79014778137207","6.79014778137207","5.709123611450195","5.709123611450195","5.709123611450195"
"126","7.207620143890381","7.207620143890381","7.207620143890381","7.258705139160156","7.258705139160156","7.258705139160156","7.187430381774902","7.187430381774902","7.187430381774902","7.1532697677612305","7.1532697677612305","7.1532697677612305","7.207852363586426","7.207852363586426","7.207852363586426","7.128335952758789","7.128335952758789","7.128335952758789","6.071568489074707","6.071568489074707","6.071568489074707","6.84566593170166","6.84566593170166","6.84566593170166","6.637297630310059","6.637297630310059","6.637297630310059","5.649247169494629","5.649247169494629","5.649247169494629"
"134","7.088559150695801","7.088559150695801","7.088559150695801","6.353930473327637","6.353930473327637","6.353930473327637","7.24564266204834","7.24564266204834","7.24564266204834","6.999187469482422","6.999187469482422","6.999187469482422","6.637861251831055","6.637861251831055","6.637861251831055","7.006796836853027","7.006796836853027","7.006796836853027","5.275606155395508","5.275606155395508","5.275606155395508","3.8208200931549072","3.8208200931549072","3.8208200931549072","6.446019649505615","6.446019649505615","6.446019649505615","5.8339643478393555","5.8339643478393555","5.8339643478393555"
"142","6.971753120422363","6.971753120422363","6.971753120422363","6.773921489715576","6.773921489715576","6.773921489715576","7.2023468017578125","7.2023468017578125","7.2023468017578125","7.133877754211426","7.133877754211426","7.133877754211426","7.027046203613281","7.027046203613281","7.027046203613281","7.113823890686035","7.113823890686035","7.113823890686035","5.430991172790527","5.430991172790527","5.430991172790527","5.313551902770996","5.313551902770996","5.313551902770996","6.802125930786133","6.802125930786133","6.802125930786133","5.728183746337891","5.728183746337891","5.728183746337891"
"150","7.0147013664245605","7.0147013664245605","7.0147013664245605","7.176990509033203","7.176990509033203","7.176990509033203","7.030877113342285","7.030877113342285","7.030877113342285","7.068592071533203","7.068592071533203","7.068592071533203","7.167231559753418","7.167231559753418","7.167231559753418","6.880490303039551","6.880490303039551","6.880490303039551","5.148950099945068","5.148950099945068","5.148950099945068","6.580136299133301","6.580136299133301","6.580136299133301","6.669281959533691","6.669281959533691","6.669281959533691","5.327808380126953","5.327808380126953","5.327808380126953"
"158","6.9099884033203125","6.9099884033203125","6.9099884033203125","5.888878345489502","5.888878345489502","5.888878345489502","7.1045989990234375","7.1045989990234375","7.1045989990234375","6.927364349365234","6.927364349365234","6.927364349365234","6.811048984527588","6.811048984527588","6.811048984527588","6.915797233581543","6.915797233581543","6.915797233581543","4.789267539978027","4.789267539978027","4.789267539978027","3.486166477203369","3.486166477203369","3.486166477203369","6.845048904418945","6.845048904418945","6.845048904418945","4.568646430969238","4.568646430969238","4.568646430969238"
"166","6.707579612731934","6.707579612731934","6.707579612731934","6.468907356262207","6.468907356262207","6.468907356262207","6.860561370849609","6.860561370849609","6.860561370849609","6.851620674133301","6.851620674133301","6.851620674133301","6.6024603843688965","6.6024603843688965","6.6024603843688965","6.871390342712402","6.871390342712402","6.871390342712402","4.163307189941406","4.163307189941406","4.163307189941406","6.030272960662842","6.030272960662842","6.030272960662842","5.937868118286133","5.937868118286133","5.937868118286133","3.200563907623291","3.200563907623291","3.200563907623291"
"174","6.802628040313721","6.802628040313721","6.802628040313721","6.70180082321167","6.70180082321167","6.70180082321167","6.821612358093262","6.821612358093262","6.821612358093262","6.905167579650879","6.905167579650879","6.905167579650879","6.717172622680664","6.717172622680664","6.717172622680664","6.747043132781982","6.747043132781982","6.747043132781982","5.3621392250061035","5.3621392250061035","5.3621392250061035","6.001485824584961","6.001485824584961","6.001485824584961","6.660761833190918","6.660761833190918","6.660761833190918","3.0592918395996094","3.0592918395996094","3.0592918395996094"
"182","6.755144119262695","6.755144119262695","6.755144119262695","5.655806064605713","5.655806064605713","5.655806064605713","6.673487663269043","6.673487663269043","6.673487663269043","6.737516403198242","6.737516403198242","6.737516403198242","6.457527160644531","6.457527160644531","6.457527160644531","6.724761009216309","6.724761009216309","6.724761009216309","4.739750862121582","4.739750862121582","4.739750862121582","3.752216100692749","3.752216100692749","3.752216100692749","6.210048675537109","6.210048675537109","6.210048675537109","3.4339375495910645","3.4339375495910645","3.4339375495910645"
"190","6.671565055847168","6.671565055847168","6.671565055847168","5.957174301147461","5.957174301147461","5.957174301147461","6.791155815124512","6.791155815124512","6.791155815124512","6.8203606605529785","6.8203606605529785","6.8203606605529785","6.3482208251953125","6.3482208251953125","6.3482208251953125","6.68937349319458","6.68937349319458","6.68937349319458","5.291250228881836","5.291250228881836","5.291250228881836","3.6242356300354004","3.6242356300354004","3.6242356300354004","6.34519100189209","6.34519100189209","6.34519100189209","3.257444381713867","3.257444381713867","3.257444381713867"
"198","6.727239608764648","6.727239608764648","6.727239608764648","5.277129650115967","5.277129650115967","5.277129650115967","6.668515205383301","6.668515205383301","6.668515205383301","6.684692859649658","6.684692859649658","6.684692859649658","6.488166332244873","6.488166332244873","6.488166332244873","6.59125280380249","6.59125280380249","6.59125280380249","2.5501699447631836","2.5501699447631836","2.5501699447631836","1.8642675876617432","1.8642675876617432","1.8642675876617432","5.9741034507751465","5.9741034507751465","5.9741034507751465","6.321747779846191","6.321747779846191","6.321747779846191"
"206","6.681096076965332","6.681096076965332","6.681096076965332","5.998793601989746","5.998793601989746","5.998793601989746","6.778878211975098","6.778878211975098","6.778878211975098","6.5904693603515625","6.5904693603515625","6.5904693603515625","6.428718566894531","6.428718566894531","6.428718566894531","6.612260818481445","6.612260818481445","6.612260818481445","3.5266876220703125","3.5266876220703125","3.5266876220703125","4.5088653564453125","4.5088653564453125","4.5088653564453125","5.447701454162598","5.447701454162598","5.447701454162598","3.2968192100524902","3.2968192100524902","3.2968192100524902"
"214","6.697751998901367","6.697751998901367","6.697751998901367","5.401637077331543","5.401637077331543","5.401637077331543","6.647696495056152","6.647696495056152","6.647696495056152","6.503604888916016","6.503604888916016","6.503604888916016","6.5816497802734375","6.5816497802734375","6.5816497802734375","6.5566487312316895","6.5566487312316895","6.5566487312316895","3.977433443069458","3.977433443069458","3.977433443069458","2.5566163063049316","2.5566163063049316","2.5566163063049316","6.464221477508545","6.464221477508545","6.464221477508545","3.693070888519287","3.693070888519287","3.693070888519287"
"222","6.70612907409668","6.70612907409668","6.70612907409668","5.8929548263549805","5.8929548263549805","5.8929548263549805","6.568713188171387","6.568713188171387","6.568713188171387","6.283307075500488","6.283307075500488","6.283307075500488","6.431241035461426","6.431241035461426","6.431241035461426","6.124642372131348","6.124642372131348","6.124642372131348","3.940927505493164","3.940927505493164","3.940927505493164","3.5823864936828613","3.5823864936828613","3.5823864936828613","5.581264495849609","5.581264495849609","5.581264495849609","2.350520133972168","2.350520133972168","2.350520133972168"
"230","6.51057767868042","6.51057767868042","6.51057767868042","5.689589977264404","5.689589977264404","5.689589977264404","6.6244120597839355","6.6244120597839355","6.6244120597839355","6.298816204071045","6.298816204071045","6.298816204071045","5.831409454345703","5.831409454345703","5.831409454345703","6.100298881530762","6.100298881530762","6.100298881530762","4.161991119384766","4.161991119384766","4.161991119384766","3.5627777576446533","3.5627777576446533","3.5627777576446533","5.676227569580078","5.676227569580078","5.676227569580078","3.619072198867798","3.619072198867798","3.619072198867798"
"238","6.451758861541748","6.451758861541748","6.451758861541748","4.615800857543945","4.615800857543945","4.615800857543945","6.351108551025391","6.351108551025391","6.351108551025391","6.395235061645508","6.395235061645508","6.395235061645508","5.56719970703125","5.56719970703125","5.56719970703125","6.111114501953125","6.111114501953125","6.111114501953125","2.9186415672302246","2.9186415672302246","2.9186415672302246","2.0013060569763184","2.0013060569763184","2.0013060569763184","5.677426338195801","5.677426338195801","5.677426338195801","3.933692455291748","3.933692455291748","3.933692455291748"
"246","6.547519683837891","6.547519683837891","6.547519683837891","7.071724891662598","7.071724891662598","7.071724891662598","6.393049240112305","6.393049240112305","6.393049240112305","6.172740936279297","6.172740936279297","6.172740936279297","5.906903266906738","5.906903266906738","5.906903266906738","6.164745807647705","6.164745807647705","6.164745807647705","2.736281633377075","2.736281633377075","2.736281633377075","2.4090352058410645","2.4090352058410645","2.4090352058410645","5.31325626373291","5.31325626373291","5.31325626373291","2.7176284790039062","2.7176284790039062","2.7176284790039062"
"254","6.297355651855469","6.297355651855469","6.297355651855469","4.721365928649902","4.721365928649902","4.721365928649902","6.64018440246582","6.64018440246582","6.64018440246582","6.32017183303833","6.32017183303833","6.32017183303833","5.58703088760376","5.58703088760376","5.58703088760376","6.263674736022949","6.263674736022949","6.263674736022949","2.789330005645752","2.789330005645752","2.789330005645752","2.9959676265716553","2.9959676265716553","2.9959676265716553","5.792580604553223","5.792580604553223","5.792580604553223","4.011472702026367","4.011472702026367","4.011472702026367"
"262","6.416458606719971","6.416458606719971","6.416458606719971","5.014821529388428","5.014821529388428","5.014821529388428","6.55659294128418","6.55659294128418","6.55659294128418","6.2788004875183105","6.2788004875183105","6.2788004875183105","5.42015266418457","5.42015266418457","5.42015266418457","6.22860050201416","6.22860050201416","6.22860050201416","2.1587414741516113","2.1587414741516113","2.1587414741516113","1.716862440109253","1.716862440109253","1.716862440109253","5.328773498535156","5.328773498535156","5.328773498535156","2.4827396869659424","2.4827396869659424","2.4827396869659424"
"270","6.383381366729736","6.383381366729736","6.383381366729736","4.183834075927734","4.183834075927734","4.183834075927734","6.4123992919921875","6.4123992919921875","6.4123992919921875","6.455318450927734","6.455318450927734","6.455318450927734","6.550909996032715","6.550909996032715","6.550909996032715","6.103151321411133","6.103151321411133","6.103151321411133","3.3741493225097656","3.3741493225097656","3.3741493225097656","1.7549957036972046","1.7549957036972046","1.7549957036972046","6.411755561828613","6.411755561828613","6.411755561828613","2.1406197547912598","2.1406197547912598","2.1406197547912598"
"278","6.346782207489014","6.346782207489014","6.346782207489014","6.023053169250488","6.023053169250488","6.023053169250488","6.368651390075684","6.368651390075684","6.368651390075684","6.3224992752075195","6.3224992752075195","6.3224992752075195","5.727337837219238","5.727337837219238","5.727337837219238","6.120706558227539","6.120706558227539","6.120706558227539","3.490649938583374","3.490649938583374","3.490649938583374","3.3455793857574463","3.3455793857574463","3.3455793857574463","5.256675720214844","5.256675720214844","5.256675720214844","1.9617531299591064","1.9617531299591064","1.9617531299591064"
"286","6.2867536544799805","6.2867536544799805","6.2867536544799805","3.894134998321533","3.894134998321533","3.894134998321533","6.319331169128418","6.319331169128418","6.319331169128418","6.215534210205078","6.215534210205078","6.215534210205078","6.002863883972168","6.002863883972168","6.002863883972168","5.588726997375488","5.588726997375488","5.588726997375488","2.0410637855529785","2.0410637855529785","2.0410637855529785","1.5279386043548584","1.5279386043548584","1.5279386043548584","5.727951526641846","5.727951526641846","5.727951526641846","4.582748889923096","4.582748889923096","4.582748889923096"
"294","6.390558242797852","6.390558242797852","6.390558242797852","4.7861809730529785","4.7861809730529785","4.7861809730529785","6.336202144622803","6.336202144622803","6.336202144622803","6.428572654724121","6.428572654724121","6.428572654724121","5.049732208251953","5.049732208251953","5.049732208251953","5.936306953430176","5.936306953430176","5.936306953430176","2.757754325866699","2.757754325866699","2.757754325866699","1.9161560535430908","1.9161560535430908","1.9161560535430908","5.2039289474487305","5.2039289474487305","5.2039289474487305","2.2063074111938477","2.2063074111938477","2.2063074111938477"
"302","6.441549301147461","6.441549301147461","6.441549301147461","4.58656120300293","4.58656120300293","4.58656120300293","6.124068260192871","6.124068260192871","6.124068260192871","5.794807434082031","5.794807434082031","5.794807434082031","5.569515228271484","5.569515228271484","5.569515228271484","5.917357921600342","5.917357921600342","5.917357921600342","2.2815101146698","2.2815101146698","2.2815101146698","1.6844041347503662","1.6844041347503662","1.6844041347503662","5.129186630249023","5.129186630249023","5.129186630249023","2.330209255218506","2.330209255218506","2.330209255218506"
"310","6.328714370727539","6.328714370727539","6.328714370727539","4.560717582702637","4.560717582702637","4.560717582702637","6.253381729125977","6.253381729125977","6.253381729125977","6.4186553955078125","6.4186553955078125","6.4186553955078125","5.53818416595459","5.53818416595459","5.53818416595459","6.1942033767700195","6.1942033767700195","6.1942033767700195","2.7784790992736816","2.7784790992736816","2.7784790992736816","1.511074423789978","1.511074423789978","1.511074423789978","6.2629523277282715","6.2629523277282715","6.2629523277282715","2.0240447521209717","2.0240447521209717","2.0240447521209717"
"318","6.330325126647949","6.330325126647949","6.330325126647949","4.8198628425598145","4.8198628425598145","4.8198628425598145","6.407923698425293","6.407923698425293","6.407923698425293","6.336463928222656","6.336463928222656","6.336463928222656","5.790390968322754","5.790390968322754","5.790390968322754","5.713112831115723","5.713112831115723","5.713112831115723","1.7126843929290771","1.7126843929290771","1.7126843929290771","1.714812994003296","1.714812994003296","1.714812994003296","5.122342109680176","5.122342109680176","5.122342109680176","2.4478421211242676","2.4478421211242676","2.4478421211242676"